도로명전체주소,사업장명,위도,경도
"경기도 의정부시 평화로 647, 107,108호 (의정부동, 미건메디컬프라자)",미건메디컬약국,37.74972053,127.0446219
"경기도 의정부시 천보로 56, 109호 (민락동)",이정약국,37.7448484,127.0952721
"경기도 의정부시 의정로 191, 1층 (가능동)",늘푸른약국,37.74992286,127.0341729
"경기도 의정부시 비우로 110, 1층 (녹양동)",희망온누리약국,37.75826155,127.0391942
"경기도 의정부시 회룡로 188, 109호 (장암동, 장암골드프라자)",봄약국,37.72636771,127.0545877
"경기도 의정부시 용민로 493, 102호 (민락동)",광장온누리약국,37.74998644,127.1185994
"경기도 의정부시 청사로 45, 108호 (금오동, 플래티넘프라자)",현대약국,37.75227401,127.0696147
"경기도 의정부시 태평로 110, 1층 (의정부동)",헬스팜약국,37.74235899,127.0518616
"경기도 의정부시 충의로 55, 1층 (용현동)",하늘약국,37.73676223,127.087199
"경기도 의정부시 천보로 277, 1동 (금오동)",성모큰사랑약국,37.75879521,127.0786348
"경기도 의정부시 체육로 298-13, 106호 (녹양동, 현대프라자)",햇살온누리약국,37.7604811,127.041004
"경기도 의정부시 태평로 66, 1층 (의정부동)",제일팜약국,37.73841843,127.052065
"경기도 의정부시 상금로 33, 107호 (금오동, 이롬프라자)",햇살온누리약국,37.75778254,127.0744503
경기도 의정부시 시민로131번길 64 (의정부동),대영약국,37.74099823,127.0498343
경기도 의정부시 오목로205번길 1 (민락동),민락 길 약국,37.744614,127.0980857
경기도 의정부시 금신로 318 (신곡동),우리약국,37.74496689,127.0625429
"경기도 의정부시 용민로 401, 1층 106호 (낙양동, 예스프라자)",천사약국,37.75556993,127.1128952
"경기도 의정부시 시민로 31 (의정부동, 네오타워빌딩)",푸른샘약국,37.73855331,127.0387123
"경기도 의정부시 평화로 228, 108호 (호원동, 로뎀프라자)",이화사랑약국,37.71220359,127.047778
"경기도 의정부시 체육로 306-28, 106호 (녹양동, 굿모닝프라자)",녹양약국,37.75989796,127.0413487
경기도 의정부시 신촌로 65 (가능동),에이스약국,37.75055893,127.0417613
"경기도 의정부시 용민로 483, 107,108호 (민락동, 보광프라자)",민락메디칼약국,37.75075621,127.1180815
"경기도 의정부시 신흥로 219, 1층 (의정부동, 양준빌딩)",신 성모약국,37.73574463,127.0431034
"경기도 의정부시 신흥로 251, 1층 (의정부동, 구성타워빌딩)",성모약국,37.73861457,127.042883
경기도 의정부시 비우로 90-1 (녹양동),누가온누리약국,37.7581596,127.036834
경기도 의정부시 천보로 38 (민락동),시티약국,37.74403614,127.0968597
"경기도 의정부시 평화로 635 (의정부동, 미림프라자)",국민약국,37.74865738,127.0448591
"경기도 의정부시 용현로105번길 45-30, 104호 (민락동)",공원약국,37.74243798,127.0863412
"경기도 의정부시 신흥로 81, 105호 (호원동, 쌍용스윗닷홈)",세계로약국,37.72345494,127.043348
"경기도 의정부시 가능로159번길 73, 106동 101호 (의정부동, 한진그랑빌)",수온누리약국,37.74917662,127.0455446
"경기도 의정부시 행복로 27, 1층 (의정부동)",엔젤팜약국,37.74117754,127.0493867
경기도 의정부시 오목로225번길 162 (민락동),민락온누리약국,37.74458622,127.0958168
"경기도 의정부시 부용로213번길 14 (용현동, 성지빌딩)",백세온누리약국,37.75003609,127.0806456
경기도 의정부시 시민로 130 (의정부동),선약국,37.7380347,127.049354
"경기도 의정부시 진등로 1, 1층 103호 (녹양동)",은혜약국,37.75826807,127.032271
"경기도 의정부시 시민로 120, 1층 (의정부동, 은덕빌딩 다동)",유한약국,37.73834285,127.0484366
"경기도 의정부시 장곡로 554, 103호 (신곡동, 광장빌딩)",조은약국,37.74871419,127.0644055
"경기도 의정부시 평화로 228, 103호 (호원동, 로뎀프라자)",하나프라자약국,37.71220359,127.047778
경기도 의정부시 태평로 21 (의정부동),이화온누리약국,37.73499743,127.0493733
경기도 의정부시 녹양로 77 (녹양동),아이사랑약국,37.75776485,127.0339747
경기도 의정부시 녹양로 77 (녹양동),아이사랑약국,37.75776485,127.0339747
"경기도 의정부시 신흥로 141-1, 1층 (호원동)",우리들약국,37.72880537,127.0433184
경기도 의정부시 흥선로 136 (의정부동),제일약국,37.74159612,127.0419477
"경기도 의정부시 충의로 62, 202호 (용현동, 경은빌딩)",행복한2층약국,37.73749228,127.0874518
"경기도 의정부시 회룡로 178, 109호 (장암동, 발곡프라자)",라임약국,37.72638805,127.0534565
"경기도 의정부시 회룡로 138, 105호,106호 (호원동, 대명빌딩)",코리아약국,37.72578687,127.0492261
"경기도 의정부시 흥선로138번길 20, 101호 (의정부동)",소망주차장약국,37.74076886,127.0419308
"경기도 의정부시 외미로 100, 106호 (호원동, 회룡타운)",회룡초록약국,37.72404779,127.0466097
"경기도 의정부시 평화로 323, 102호 (호원동)",조은약국,37.72087115,127.0472873
"경기도 의정부시 평화로 152, 1층 (호원동)",김약국,37.70539055,127.0483474
"경기도 의정부시 민락로 210, 3층 (민락동, 이마트)",중앙약국,37.74318431,127.1023642
"경기도 의정부시 태평로 83, 1층 (의정부동)",대일약국,37.73993784,127.0514054
"경기도 의정부시 태평로 83, 1층 (의정부동)",대일약국,37.73993784,127.0514054
"경기도 의정부시 태평로 95, 1층 (의정부동)",시장보건약국,37.74106172,127.0513837
"경기도 의정부시 시민로 80, 센트럴타워 1층 106호 (의정부동)",센트럴약국,37.73797687,127.0440933
"경기도 의정부시 용현로159번길 6, 104호 (민락동)",진미약국,37.74087413,127.0939312
"경기도 의정부시 금오로 121-7, 1층 (금오동)",성모태평양약국,37.75763073,127.0784679
"경기도 의정부시 청사로 37, 109호 (금오동)",신세계약국,37.75152055,127.0698812
"경기도 의정부시 금신로 323, 109호 (신곡동, 대명프라자빌딩)",건강백세약국,37.74477868,127.0616786
"경기도 의정부시 청사로 41, 1층 (금오동)",금오보령약국,37.75195284,127.0697264
"경기도 의정부시 태평로 6, 1층 (의정부동)",하나약국,37.73360122,127.048677
"경기도 의정부시 시민로 83, 107호 (의정부동)",철인약국,37.73877199,127.0445209
"경기도 의정부시 흥선로 80, 1층 (가능동)",친절한약국,37.74270738,127.0356432
경기도 의정부시 금오로 121-8 (금오동),성바오로약국,37.75784666,127.0787877
"경기도 의정부시 회룡로 221, 104호 (신곡동, 장암주공5단지상가)",덕영약국,37.72686763,127.058209
경기도 의정부시 호국로1519번길 20-32 (금오동),금오정문약국,37.75415691,127.0713252
"경기도 의정부시 평화로 613, 용호빌딩 1층 (의정부동)",굿모닝약국,37.74667178,127.0454696
"경기도 의정부시 청사로47번길 12, 403호 (금오동, 성산타워)",원광한약국,37.7526164,127.0691106
경기도 의정부시 평화로 618 (의정부동),이레약국,37.74731034,127.0458123
"경기도 의정부시 평화로 375, 108호 (호원동, 회룡프라자)",회룡프라자약국,37.7254307,127.0479349
경기도 의정부시 가능로 50 (가능동),행복온누리약국,37.74657609,127.0366949
경기도 의정부시 범골로 39 (호원동),기분좋은약국,37.72837628,127.0390796
"경기도 의정부시 금신로 316, 1층 (신곡동)",소망온누리약국,37.74491543,127.0627491
"경기도 의정부시 회룡로 241, 103,104호 (신곡동, 풍림한국아파트상가)",양지그랜드약국,37.72682299,127.060631
"경기도 의정부시 호동로 67, 106호 (호원동, 화성프라자)",바로약국,37.72793107,127.0433026
"경기도 의정부시 동일로 589, 동신아파트 (상가동) 107호 (신곡동)",은행약국,37.74072985,127.0564016
"경기도 의정부시 평화로 196, 216호 (호원동, 신일에리시움)",윤약국,37.70945854,127.0483573
"경기도 의정부시 평화로 232, 1층 (호원동, 대광메디칼프라자)",호원프라자약국,37.71258619,127.0476694
"경기도 의정부시 추동로 9, 310호 (신곡동, 휴먼시티)",건강한약국,37.74298754,127.0570679
경기도 의정부시 금오로 121 (금오동),성모제일약국,37.75744648,127.0784793
경기도 의정부시 금오로 121 (금오동),성모제일약국,37.75744648,127.0784793
"경기도 의정부시 충의로 53, 1층 (용현동)",웰유약국,37.73648695,127.0872494
경기도 의정부시 용현로 161 (민락동),천세약국,37.74065762,127.0939356
경기도 의정부시 비우로 69 (녹양동),인정약국,37.75832119,127.0346282
경기도 의정부시 둔야로 36 (가능동),평화온누리약국,37.73912565,127.0399093
"경기도 의정부시 회룡로192번길 25, 105호 (장암동, 대현빌딩)",동아약국,37.72547957,127.0558547
"경기도 의정부시 호동로 52, 101호 (호원동, 가든아파트상가)",건우약국,37.72898214,127.042075
"경기도 의정부시 시민로 48, 1층 (의정부동, 아이월드빌딩)",민약국,37.73791865,127.0403792
경기도 의정부시 가능로119번길 20 (가능동),북부약국,37.74783324,127.044218
경기도 의정부시 시민로131번길 7 (의정부동),서울약국,37.73843429,127.0497522
"경기도 의정부시 회룡로 137, 103호 (호원동, 거원프라자)",성신약국,37.72626585,127.0491728
경기도 의정부시 용민로7번길 5 (용현동),녹십자약국,37.73453377,127.0795657
"경기도 의정부시 호국로 1369, A동 106,107호 (금오동)",방명규약국,37.74609283,127.0547513
경기도 의정부시 평화로 562 (의정부동),국제약국,37.74206689,127.0471644
경기도 의정부시 오목로18번길 4 (용현동),메디팜 한진약국,37.7322769,127.0853949
경기도 의정부시 금오로 112 (금오동),강성약국,37.75674992,127.077551
경기도 의정부시 비우로 77 (녹양동),명선약국,37.75836133,127.0353631
"경기도 의정부시 신촌로29번길 23, 진미마트 1층 (가능동)",세일약국,37.75141953,127.037503
경기도 의정부시 의정로 155 (가능동),시민약국,37.74681799,127.0343488
경기도 의정부시 평화로 542 (의정부동),진성약국,37.74026154,127.0475922
"경기도 의정부시 산단로76번길 115, 105호 (용현동, 플러스빌딩)",시장약국,37.74352743,127.0844762
경기도 의정부시 시민로121번길 67 (의정부동),광일약국,37.74123937,127.050182
"경기도 의정부시 평화로 183, 1층 (호원동)",성민온누리약국,37.70824233,127.0478717
"경기도 의정부시 천보로 265, 가동 (금오동)",성모제중약국,37.75762106,127.0790549
경기도 의정부시 태평로 64 (의정부동),수퍼약국,37.7381044,127.051942
"경기도 의정부시 충의로 52, 1층 (용현동)",대광약국,37.73663743,127.0878229
"경기도 의정부시 평화로 634, 1층 (의정부동)",아리랑약국,37.74843876,127.0454652
"경기도 의정부시 평화로 634, 1층 (의정부동)",아리랑약국,37.74843876,127.0454652
경기도 의정부시 태평로90번길 3 (의정부동),태평양약국,37.74064099,127.0519401
경기도 의정부시 호국로1309번길 21 (의정부동),신진약국,37.74473508,127.0494388
경기도 의정부시 흥선로 77 (가능동),삼화약국,37.74297473,127.035546
"경기도 의정부시 동일로 725, 104호 (금오동)",가장밝은미소약국,37.75113191,127.049595
"경기도 의정부시 호국로1310번길 46, 1층 (의정부동)",송약국,37.74152616,127.0495112
경기도 의정부시 신촌로 7 (가능동),다나약국,37.75045455,127.0352965
"경기도 의정부시 금오로 121-6, 1층 (금오동)",성모드림약국,37.75760795,127.0787201
"경기도 의정부시 호동로 67, 화성프라자 302-1호 (호원동)",십자성약국,37.72793107,127.0433026
"경기도 의정부시 용민로 407, 한덕프라자 1층 (낙양동)",샛별온누리약국,37.75562341,127.1135956
"경기도 의정부시 오목로 217, 102호 (민락동)",내일약국,37.74569058,127.0992501
